job_name	company_name	min_salary	max_salary	education	workyear	workarea	companytype	issuedate
Java高级开发工程师	浙江一山智慧医疗研究有限公司	250000	350000	本科	5-7	杭州-余杭区	民营公司	2022-01-01 04:00:37
高薪急招java工程师	上海汉朔信息科技有限公司	12000	20000	大专	无需	上海	民营公司	2022-01-01 04:00:37
Java中级开发工程师	上海媛福达贸易有限公司	15000	17000	大专	3-4	上海-静安区	民营公司	2022-01-01 04:00:37
Java开发	杭州小火堆网络科技有限公司	13000	20000	本科	2	杭州-余杭区	民营公司	2022-01-01 04:00:37
java	上海埃威航空电子有限公司	150000	300000	大专	3-4	上海-徐汇区	国企	2022-01-01 04:00:37
Java开发工程师	北京竞业达数码科技股份有限公司	10000	20000	本科	3-4	西安-碑林区	上市公司	2022-01-01 04:00:37
高级Java工程师	问向教育科技(上海)有限公司	20000	40000	本科	5-7	上海	外资（非欧美）	2022-01-01 04:00:37
Java开发工程师	北京致远互联软件股份有限公司	10000	15000	本科	3-4	大连-沙河口区	上市公司	2022-01-01 04:00:37
Java初级开发工程师	四川省进取科技有限公司	4500	6000	大专	1	泸州	民营公司	2022-01-01 04:00:37
Java开发工程师	北京源通电力科技有限公司	8000	15000	本科	3-4	济南-高新区	民营公司	2022-01-01 04:00:37
Java开发	深圳市银拓科技有限公司	10000	20000	本科	2	深圳-南山区	民营公司	2022-01-01 04:00:37
java程序员	武汉鸿羽信息技术有限公司	5000	10000	大专	1	桂林	民营公司	2022-01-01 04:00:37
Java开发	华通科技有限公司	9000	12000	本科	5-7	西安-长安区	民营公司	2022-01-01 04:00:37
JAVA开发高级工程师	盈德气体（上海）有限公司	300000	550000	本科	8-9	上海-浦东新区	民营公司	2022-01-01 04:00:37
资深高级JAVA开发工程师	上海点掌文化科技股份有限公司	30000	40000	本科	8-9	上海-普陀区	民营公司	2022-01-01 04:00:37
Java开发工程师	拜椰特（上海）软件技术有限公司	12000	25000	本科	3-4	上海-浦东新区	民营公司	2022-01-01 04:00:37
Java开发工程师	中城智慧科技有限公司	20000	30000	本科	5-7	上海-浦东新区	民营公司	2022-01-01 04:00:37
Java开发工程师	广州市都享信息科技有限公司	6000	8000	大专	1	广州-番禺区	民营公司	2022-01-01 04:00:37
Java开发工程师	福建职海教育科技有限公司	7000	14000	本科	2	福州-闽侯县	创业公司	2022-01-01 04:00:37
Java开发工程师	云南南天电子信息产业股份有限公司	6000	12000	本科	2	昆明-盘龙区	国企	2022-01-01 04:00:37
Java开发工程师	武汉德邻恒勤软件科技有限公司	8000	15000	本科	3-4	武汉-洪山区	民营公司	2022-01-01 04:00:37
Java开发工程师	南京科融数据系统股份有限公司上海分公司	15000	20000	本科	3-4	南京-鼓楼区	上市公司	2022-01-01 04:00:37
Java开发工程师	深圳博瑞天下科技有限公司	15000	25000	本科	3-4	深圳	民营公司	2022-01-01 04:00:37
Java高级开发工程师	武汉华起物联科技有限公司	15000	20000	大专	5-7	武汉-洪山区	民营公司	2022-01-01 04:00:37
Java开发工程师	深圳市东亿软件技术有限公司	10000	18000	大专	3-4	武汉-洪山区	民营公司	2022-01-01 04:00:37
Java开发工程师	北京沃丰时代数据科技有限公司武汉分公司	13000	26000	本科	3-4	武汉-武昌区	民营公司	2022-01-01 04:00:37
Java开发工程师	江苏太湖慧云数据系统有限公司	10000	15000	大专	2	无锡	民营公司	2022-01-01 04:00:37
Java开发工程师	江西升阳计算机系统有限公司	6000	8000	大专	2	九江	民营公司	2022-01-01 04:00:37
Java开发工程师	深圳中科保泰科技有限公司	9000	13000	本科	2	佛山-禅城区	民营公司	2022-01-01 04:00:37
JAVA开发工程师	广州市高科通信技术股份有限公司	12000	18000	大专	3-4	广州-天河区	民营公司	2022-01-01 04:00:37
中高级JAVA开发	北京卓信智恒数据科技股份有限公司	10000	18000	大专	3-4	广州-天河区	上市公司	2022-01-01 04:00:37
Java开发工程师	广州麦景科技有限公司	7000	10000	本科	3-4	广州-天河区	民营公司	2022-01-01 04:00:37
高级JAVA架构师	紫光数码集团北京总部	25000	40000	本科	8-9	北京-海淀区	国企	2022-01-01 04:00:37
Java开发工程师	上海宝信数据中心有限公司	200000	300000	本科	5-7	上海	国企	2022-01-01 04:00:37
java开发工程师	惠州大亚湾紫旭智慧科技有限公司	15000	20000	本科	5-7	深圳-龙华区	民营公司	2022-01-01 04:00:37
